College/University,US World Ranking,School Type,Region,New EBRW 25th,New EBRW 75th,New Math 25th,New Math 75th,SAT Total 25th,SAT TOTAL 75th,ACT Comp 25th,ACT Comp 75th,Test Optional or Test Flexible
Millsaps College,90,LAC,South,560,680,560,650,1120,1330,23,28,
Milwaukee School of Engineering,11,Regional,Midwest,620,720,630,760,1250,1480,25,30,
Mississippi State University,176,National,South,520,660,510,660,1030,1320,20,27,
Missouri University of Science and Technology,164,National,Midwest,560,700,580,660,1140,1360,25,31,
Morehouse College,159,LAC,South,480,590,470,570,950,1160,18,23,
Mount Holyoke College,36,LAC,New England,680,750,630,760,1310,1510,29,32,TO
Muhlenberg College,65,LAC,Mid-Atlantic,620,710,580,700,1200,1410,25,31,TO
New College of Florida,90,LAC,South,660,730,580,690,1230,1420,27,31,
New Jersey Institute of Technology,135,National,Mid-Atlantic,570,680,610,710,1180,1390,23,29,
The New School,129,National,Mid-Atlantic,560,670,530,650,1090,1320,22,27,TO
New York University,36,National,Mid-Atlantic,670,740,650,760,1320,1500,28,32,TF
North Carolina State University at Raleigh,92,National,South,610,690,620,710,1230,1400,26,31,
Northeastern University,39,National,New England,700,760,710,780,1410,1540,31,34,
Northwestern University,12,National,Midwest,740,780,740,800,1480,1580,31,34,
Oberlin College,24,LAC,Midwest,690,750,640,750,1330,1500,28,32,
Occidental College,44,LAC,West,660,730,620,720,1280,1450,28,31,
Ohio State University,54,National,Midwest,620,710,630,750,1250,1460,27,31,
Ohio University Main Campus,145,National,Midwest,540,650,530,630,1070,1280,22,26,
Ohio Wesleyan University,95,National,Midwest,550,670,540,640,1090,1310,22,28,TO
Oklahoma State University Main Campus,152,National,South,520,640,540,640,1060,1280,22,28,
Oregon State University,143,LAC,West,530,650,530,640,1060,1290,21,28,
Pacific Lutheran University,15,Regional,West,530,660,530,630,1060,1290,22,28,
Penn State Main Campus,50,National,Mid-Atlantic,590,680,580,700,1170,1380,25,29,
Pepperdine University,50,National,West,610,700,570,700,1180,1400,25,30,
Pitzer College,32,LAC,West,660,760,650,750,1310,1510,29,32,TO
Point Loma Nazarene University,17,Regional,West,570,650,530,640,1100,1290,23,28,
Pomona College,7,LAC,West,710,780,720,780,1430,1560,30,34,
Pratt Institute Main,NA,Arts,Mid-Atlantic,590,680,560,690,1150,1370,24,28,
Presbyterian College,119,LAC,South,520,640,520,620,1040,1260,20,27,TO
Princeton University,1,National,Mid-Atlantic,730,800,730,800,1460,1600,32,35,
Providence College,1,Regional,New England,580,680,560,650,1140,1330,23,28,TO
Purdue University Main Campus,60,National,Midwest,580,680,580,730,1160,1410,25,30,
Queens University of Charlotte,22,Regional,South,510,640,500,590,1010,1230,20,26,
Quinnipiac University,11,Regional,New England,550,640,530,620,1080,1260,22,27,TO
Randolph Macon College,132,LAC,South,550,650,530,600,1080,1250,22,27,
Reed College,87,LAC,West,700,760,640,750,1340,1510,29,33,
Rensselaer Polytechnic Institute,39,National,Mid-Atlantic,660,760,710,780,1370,1540,28,32,
Rhode Island School of Design,NA,Arts,New England,630,720,600,750,1230,1470,25,32,
Rhodes College,44,LAC,South,640,740,620,720,1260,1460,27,31,
Rice University,15,National,South,720,780,740,800,1460,1580,32,35,
Ripon College,113,LAC,Midwest,500,680,530,640,1030,1320,21,27,TO
Rochester Institute of Technology,107,National,Mid-Atlantic,590,690,600,720,1190,1410,26,31,
Rollins College,2,Regional,South,610,700,580,690,1190,1390,24,29,TO
Rutgers University New Brunswick,70,National,Mid-Atlantic,610,710,570,690,1180,1400,NA,NA,
Rutgers University Newark,135,National,Mid-Atlantic,510,610,510,600,1020,1210,NA,NA,
Saint Louis University Main Campus,96,National,Midwest,580,720,580,710,1160,1430,25,31,
Samford University,4,Regional,South,560,660,520,630,1080,1290,23,29,
San Diego State University,146,National,West,550,650,540,650,1090,1300,22,28,
San Francisco State University,NA,Regional,West,480,580,470,570,950,1150,18,24,TO
San Jose State University,33,Regional,West,500,620,510,630,1010,1250,20,26,TO
