ID,School,School Type,Region,US World Ranking,Acceptance Rate,Average GPA,New EBRW 25th,New EBRW 75th,New Math 25th,New Math 75th,SAT Total 25th,SAT TOTAL 75th,SAT 25,SAT 75,ACT 25,ACT 75,ACT Comp 25th,ACT Comp 75th,Test Optional or Test Flexible,State,Link
260,Polytechnic Institute of New York University,,,,0.67,-,,,,,,,1270,1460,28,32,,,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/polytechnic-institute-of-new-york-university/admission/
259,Manhattan College,,,,0.67,3.56,,,,,,,1070,1270,22,27,,,,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/manhattan-college/admission/
1385,Lees McRae College,,,,0.67,3.14,,,,,,,-,-,-,-,,,,North Carolina,http://www.collegesimply.com/guides/admission-data//colleges/north-carolina/lees-mcrae-college/admission/
877,Southern Arkansas University Main Campus,,,,0.67,3.1,,,,,,,890,1150,18,24,,,,Arkansas,http://www.collegesimply.com/guides/admission-data//colleges/arkansas/southern-arkansas-university-main-campus/admission/
1354,Ithaca College,Regional,Mid-Atlantic,6.0,0.67,-,600.0,690.0,570.0,670.0,1170.0,1360.0,-,-,-,-,,,TO,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/ithaca-college/admission/
1453,Trinity Lutheran College,,,,0.67,-,,,,,,,-,-,-,-,,,,Washington,http://www.collegesimply.com/guides/admission-data//colleges/washington/trinity-lutheran-college/admission/
1317,Gustavus Adolphus College,LAc,Midwest,77.0,0.67,3.66,600.0,720.0,570.0,710.0,1170.0,1430.0,-,-,-,-,24.0,30.0,TO,Minnesota,http://www.collegesimply.com/guides/admission-data//colleges/minnesota/gustavus-adolphus-college/admission/
1364,The New School,National,Mid-Atlantic,129.0,0.67,-,560.0,670.0,530.0,650.0,1090.0,1320.0,-,-,-,-,22.0,27.0,TO,New York,http://www.collegesimply.com/guides/admission-data//colleges/new-york/the-new-school/admission/
368,Milligan College,,,,0.67,3.6,,,,,,,1020,1250,22,26,,,,Tennessee,http://www.collegesimply.com/guides/admission-data//colleges/tennessee/milligan-college/admission/
504,Cedar Crest College,,,,0.67,3.26,,,,,,,910,1150,19,26,,,,Pennsylvania,http://www.collegesimply.com/guides/admission-data//colleges/pennsylvania/cedar-crest-college/admission/
930,Saint Peter's College,,,,0.67,3.06,,,,,,,920,1100,16,21,,,,New Jersey,http://www.collegesimply.com/guides/admission-data//colleges/new-jersey/saint-peters-college/admission/
158,Drake University,Regional,Midwest,3.0,0.67,3.7,580.0,680.0,560.0,700.0,1140.0,1380.0,1140,1420,24,30,25.0,30.0,TO,Iowa,http://www.collegesimply.com/guides/admission-data//colleges/iowa/drake-university/admission/
194,Luther College,LAC,Midwest,90.0,0.67,3.66,540.0,670.0,510.0,660.0,1050.0,1330.0,1060,1330,23,29,23.0,29.0,,Iowa,http://www.collegesimply.com/guides/admission-data//colleges/iowa/luther-college/admission/
514,Lesley University,,,,0.67,3.02,,,,,,,1060,1240,21,25,,,,Massachusetts,http://www.collegesimply.com/guides/admission-data//colleges/massachusetts/lesley-university/admission/
232,Mercer University,National,South,135.0,0.67,3.71,580.0,680.0,570.0,670.0,1150.0,1350.0,1180,1370,24,30,25.0,29.0,,Georgia,http://www.collegesimply.com/guides/admission-data//colleges/georgia/mercer-university/admission/
316,Centenary College of Louisiana,,,,0.67,3.53,,,,,,,1060,1270,21,28,,,,Louisiana,http://www.collegesimply.com/guides/admission-data//colleges/louisiana/centenary-college-of-louisiana/admission/
