School,id
University of Northern Iowa,567
Saint Ambrose University,568
University of Kansas,569
MidAmerica Nazarene University,570
Eastern Nazarene College,571
Massachusetts College of Pharmacy and Health Sciences,572
Central Michigan University,573
University of Minnesota Duluth,574
Sierra Nevada College,575
Caldwell College,576
East Carolina University,577
Pacific University,578
Delaware Valley University,579
Gannon University,580
Marywood University,581
Robert Morris University,582
Widener University Main Campus,583
Middle Tennessee State University,584
Virginia Commonwealth University,585
University of Mobile,586
Harding University,587
Southeastern University,588
LaGrange College,589
Lincoln Christian University,590
Oakland City University,591
Kentucky Christian University,592
William Woods University,593
Montana State University,594
Barton College,595
Wingate University,596
Bowling Green State University Main Campus,597
Oral Roberts University,598
Moravian College and Moravian Theological Seminary,599
Westminster College,600
Erskine College and Seminary,601
Texas State University,602
Westminster College,603
University of Wisconsin Eau Claire,604
Wisconsin Lutheran College,605
University of Connecticut Tri Campus,606
California Baptist University,607
The Master's College and Seminary,608
Central Connecticut State University,609
Piedmont College,610
Valdosta State University,611
McKendree University,612
Huntington University,613
Mount Mercy University,614
Kentucky Wesleyan College,615
Saint Joseph's College of Maine,616
Mississippi College,617
Avila University,618
Penn State Harrisburg,619
Slippery Rock University of Pennsylvania,620
Coker College,621
South Dakota School of Mines and Technology,622
Texas A & M University Commerce,623
The University of Texas at Arlington,624
West Virginia University,625
King's University,626
University of Montevallo,627
Saint Marys College of California,628
Covenant College,629
Quincy University,630
Benedictine College,631
Adrian College,632
Northern Michigan University,633
St Louis College of Pharmacy,634
Rocky Mountain College,635
Farmingdale State College,636
Laurel University,637
Ashland University,638
Bryn Athyn College of the New Church,639
Millersville University of Pennsylvania,640
University of Pittsburgh Greensburg,641
Charleston Southern University,642
Tennessee Wesleyan College,643
Trevecca Nazarene University,644
Southwestern Assemblies of God University,645
The University of Texas at Tyler,646
Northwest University,647
Fresno Pacific University,648
Vanguard University of Southern California,649
Emmanuel College,650
University of Hawaii at Manoa,651
University of Indianapolis,652
Trine University,653
Buena Vista University,654
Brescia University,655
Massachusetts College of Liberal Arts,656
Worcester State University,657
Missouri State University Springfield,658
Grace University,659
Pfeiffer University,660
Mid Atlantic Christian University,661
Defiance College,662
La Salle University,663
Point Park University,664
Coastal Carolina University,665
The University of Tennessee Martin,666
East Texas Baptist University,667
University of St Thomas,668
Texas Wesleyan University,669
Southern Utah University,670
Lynchburg College,671
Alderson Broaddus College,672
California State University San Marcos,673
Jacksonville State University,674
Prescott College,675
Arkansas State University Main Campus,676
William Jessup University,677
Woodbury University,678
University of New Haven,679
Shorter University,680
Western Illinois University,681
Saint Josephs College,682
Suffolk University,683
Saint Louis Christian College,684
University of Nebraska at Omaha,685
University of Nevada Reno,686
CUNY John Jay College of Criminal Justice,687
Warren Wilson College,688
University of North Dakota,689
The University of Findlay,690
Mount Vernon Nazarene University,691
Hillsdale Free Will Baptist College,692
Lancaster Bible College,693
Penn State Erie Behrend College,694
Waynesburg University,695
Wilkes University,696
Mount Marty College,697
Hampton University,698
West Virginia Wesleyan College,699
University of North Alabama,700
Arizona Christian University,701
California State University Northridge,702
Dominican University of California,703
Florida Atlantic University,704
Chicago State University,705
University of Saint Mary,706
University of the Cumberlands,707
Spalding University,708
Madonna University,709
Northwood University Michigan,710
Minnesota State University Mankato,711
Niagara University,712
Pace University New York,713
Heidelberg University,714
University of Pittsburgh Johnstown,715
South Dakota State University,716
Lee University,717
Stephen F Austin State University,718
Edgewood College,719
Tuskegee University,720
Florida Agricultural and Mechanical University,721
Palm Beach Atlantic University West Palm Beach,722
Rockford College,723
Kansas Wesleyan University,724
University of Massachusetts Boston,725
College of Our Lady of the Elms,726
Western Michigan University,727
Tougaloo College,728
Northwest Missouri State University,729
University of Nebraska at Kearney,730
Penn State Lehigh Valley,731
University of South Dakota,732
Freed Hardeman University,733
Tarleton State University,734
Randolph College,735
University of Wyoming,736
Faulkner University,737
Central Baptist College,738
California State University Fresno,739
Hope International University,740
Southern Illinois University Carbondale,741
Southern Illinois University Edwardsville,742
Loras College,743
Cornerstone University,744
Siena Heights University,745
University of New Hampshire at Manchester,746
New Mexico State University Main Campus,747
SUNY College at Old Westbury,748
Belmont Abbey College,749
Campbell University,750
Minot State University,751
Cleveland State University,752
East Central University,753
Penn State Dubois,754
East Tennessee State University,755
